pos,voltage
-67,70312
-67,70312
-66,70312
-67,70312
-70,70312
-68,70312
-69,70312
-71,70312
-69,70312
-68,70312
-67,70312
-72,70312
-68,70312
-69,70312
-69,70312
-73,70312
-74,70312
-70,70312
-69,70312
-71,70312
-69,70312
-71,70312
-72,70312
-70,70312
-70,70312
-70,70312
-72,70312
-69,70312
-70,70312
-70,70312
-70,70312
-70,70312
-70,70312
-71,70312
-69,70312
-72,70312
-71,70312
-70,70312
-71,70312
-67,70312
-69,70312
-68,70312
-70,70312
-70,70312
-71,70312
-69,70312
-68,70312
-69,70312
-71,70312
-69,70312
-70,70312
-69,70312
-70,70312
-69,70312
-70,70312
-70,70312
-71,70312
-70,70312
-70,70312
-71,70312
-69,70312
-71,70312
-72,70312
-71,70312
-70,70312
-73,70312
-73,70312
-70,70312
-70,70312
-70,70312
-69,70312
-73,70312
-71,70312
-76,70312
-71,70312
-72,70312
-71,70312
-71,70312
-71,70312
-68,70312
-70,70312
-68,70312
-72,70312
-72,70312
-69,70312
-68,70312
-71,70312
-70,70312
-68,70312
-73,70312
-70,70312
-72,70312
-71,70312
-70,70312
-73,70312
-71,70312
-66,70312
-73,70312
-73,70312
-70,70312
-73,70312
-71,70312
-69,70312
-73,70312
-70,70312
-70,70312
-74,70312
-69,70312
-73,70312
-73,70312
-73,70312
-72,70312
-70,70312
-73,70312
-73,70312
-70,70312
-72,70312
-70,70312
-75,70312
-72,70312
-71,70312
-71,70312
-71,70312
-72,70312
-73,70312
-72,70312
-70,70312
-70,70312
-72,70312
-72,70312
-72,70312
-69,70312
-69,70312
-73,70312
-71,70312
-71,70312
-68,70312
-72,70312
-72,70312
-72,70312
-74,70312
-75,70312
-74,70312
-72,70312
-71,70312
-68,70312
-71,70312
-71,70312
-69,70312
-72,70312
-72,70312
-68,70312
-70,70312
-72,70312
-73,70312
-71,70312
-73,70312
-71,70312
-73,70312
-72,70312
-74,70312
-68,70312
-71,70312
-72,70312
-70,70312
-73,70312
-71,70312
-72,70312
-72,70312
-71,70312
-68,70312
-74,70312
-68,70312
-72,70312
-73,70312
-71,70312
-69,70312
-67,70312
-72,70312
-73,70312
-72,70312
-74,70312
-69,70312
