pos,voltage
-17,23442
-15,23442
-14,23442
-14,23442
-7,23442
-13,23442
-11,23442
-8,23442
-12,23442
-17,23442
-12,23442
-16,23442
-13,23442
-9,23442
-10,23442
-11,23442
-15,23442
-12,23442
-14,23442
-14,23442
-19,23442
-17,23442
-10,23442
-14,23442
-14,23442
-8,23442
-11,23442
-15,23442
-13,23442
-12,23442
-8,23442
-12,23442
-12,23442
-11,23442
-11,23442
-8,23442
-8,23442
-11,23442
-12,23442
-15,23442
-16,23442
-16,23442
-9,23442
-14,23442
-9,23442
-12,23442
-11,23442
-15,23442
-15,23442
-12,23442
-13,23442
-13,23442
-13,23442
-10,23442
-15,23442
-10,23442
-13,23442
-10,23442
-12,23442
-18,23442
-14,23442
-10,23442
-14,23442
-12,23442
-12,23442
-15,23442
-11,23442
-9,23442
-13,23442
-13,23442
-15,23442
-12,23442
-12,23442
-13,23442
-11,23442
-14,23442
-10,23442
-12,23442
-10,23442
-12,23442
-9,23442
-13,23442
-10,23442
-11,23442
-11,23442
-10,23442
-11,23442
-13,23442
-12,23442
-15,23442
-14,23442
-13,23442
-11,23442
-10,23442
-13,23442
-16,23442
-10,23442
-14,23442
-15,23442
-14,23442
-10,23445
-12,23445
-7,23445
-13,23445
-15,23445
-15,23445
-12,23445
-11,23445
-13,23445
-12,23445
-12,23445
-14,23445
-13,23445
-15,23445
-8,23445
-14,23445
-13,23445
-14,23445
-11,23445
-12,23445
-12,23445
-12,23445
-8,23445
-9,23445
-15,23445
-12,23445
-10,23445
-12,23445
-12,23445
-11,23445
-18,23445
-13,23445
-13,23445
-10,23445
-9,23445
-14,23445
-9,23445
-8,23445
-13,23445
-15,23445
-13,23445
-9,23445
-10,23445
-10,23445
-11,23445
-16,23445
-11,23445
-9,23445
-8,23445
-13,23445
-8,23445
-14,23445
-11,23445
-11,23445
-11,23445
-13,23445
-14,23445
-13,23445
-11,23445
-9,23445
-10,23445
-11,23445
-11,23445
-12,23445
-11,23445
-11,23445
-12,23445
-12,23445
-11,23445
-11,23445
-5,23445
-14,23445
-14,23445
-8,23445
-8,23445
-12,23445
-16,23445
-14,23445
-13,23445
-11,23445
-8,23445
-10,23445
-11,23445
-11,23445
-10,23445
-10,23445
-12,23445
-13,23445
-13,23445
-7,23445
-13,23445
-8,23445
-14,23445
-10,23445
-10,23445
-15,23445
-10,23445
-12,23445
-10,23445
-13,23445
-13,23445
-11,23445
-12,23445
-15,23445
-9,23445
-11,23445
-13,23445
-11,23445
-9,23445
-13,23445
-10,23445
-7,23445
-10,23445
-11,23445
-12,23445
-13,23445
-12,23445
-10,23445
-12,23445
-9,23445
-12,23445
-19,23445
-10,23445
-13,23445
-12,23445
-15,23445
-14,23445
-14,23445
-12,23445
-11,23445
-13,23445
-11,23445
-15,23445
-13,23445
-11,23445
-14,23445
-11,23445
-15,23445
-11,23445
-12,23445
-11,23445
-10,23445
-13,23445
-11,23445
-9,23445
-16,23445
-11,23445
-13,23445
-10,23445
-13,23445
-11,23445
-10,23445
-12,23445
-12,23445
-8,23445
-11,23445
-13,23445
-13,23445
-10,23445
-15,23445
-13,23445
-9,23445
-13,23445
-13,23445
-13,23445
-9,23445
-14,23445
-13,23445
-14,23445
-13,23445
-11,23445
-10,23445
-13,23445
-15,23445
-17,23445
-11,23445
-11,23445
-14,23445
-12,23445
-13,23445
-15,23445
-8,23445
-9,23445
-11,23445
-17,23445
-10,23445
-11,23445
-15,23445
-11,23445
-9,23445
-12,23445
-13,23445
-14,23445
-13,23445
-12,23445
-7,23445
-12,23445
-12,23445
-12,23445
-11,23445
-16,23445
-11,23445
-11,23445
-14,23445
-12,23445
-14,23445
-13,23445
-12,23445
-14,23445
-12,23445
-11,23445
-9,23445
-9,23445
-12,23445
-13,23445
-11,23445
-12,23445
-12,23445
-15,23445
-13,23445
-14,23445
-8,23445
-12,23445
-11,23445
-14,23445
-18,23445
-10,23445
-6,23445
-13,23445
-10,23445
-13,23445
-6,23445
-14,23445
-12,23447
-12,23447
-12,23447
-11,23447
-11,23447
-13,23447
-10,23447
-11,23447
-9,23447
-17,23447
-15,23447
-13,23447
-12,23447
-9,23447
-17,23447
-10,23447
-12,23447
-17,23447
-13,23447
-12,23447
-12,23447
-18,23447
-14,23447
-14,23447
-10,23447
-12,23447
-12,23447
-13,23447
-14,23447
-10,23447
-11,23447
-10,23447
-13,23447
-14,23447
-9,23447
-11,23447
-10,23447
-9,23447
-15,23447
-11,23447
-11,23447
-12,23447
-12,23447
-9,23447
-10,23447
-15,23447
-10,23447
-10,23447
-11,23447
-8,23447
-9,23447
-11,23447
-14,23447
-11,23447
-11,23447
-12,23447
-11,23447
-14,23447
-9,23447
-12,23447
-14,23447
-14,23447
-11,23447
-13,23447
-8,23447
-11,23447
-13,23447
-15,23447
-11,23447
-13,23447
-10,23447
-13,23447
-8,23447
-10,23447
-9,23447
-12,23447
-16,23447
-15,23447
-13,23447
-12,23447
-9,23447
-11,23447
-14,23447
-9,23447
-11,23447
-16,23447
-9,23447
-9,23447
-7,23447
-10,23447
-12,23447
-10,23447
-15,23447
-13,23447
-12,23447
-9,23447
-12,23447
-14,23447
-15,23447
-13,23447
-11,23447
-16,23447
-11,23447
-9,23447
-15,23447
-8,23447
-12,23447
-13,23447
-13,23447
-10,23447
-10,23447
-14,23447
-14,23447
-8,23447
-15,23447
-14,23447
-11,23447
-12,23447
-12,23447
-10,23447
-10,23447
-15,23447
-10,23447
-17,23447
-18,23447
-12,23447
-10,23447
-16,23447
-11,23447
-13,23447
-11,23447
-13,23447
-10,23447
-13,23447
-11,23447
-10,23447
-12,23447
-12,23447
-15,23447
-9,23447
-7,23447
-8,23447
-12,23447
-21,23447
-9,23447
-8,23447
-9,23447
-6,23447
-9,23447
-15,23447
-13,23447
-12,23447
-14,23447
-13,23447
-12,23447
-14,23447
-13,23447
-9,23447
-16,23447
-10,23447
-14,23447
-13,23447
-13,23447
-16,23447
-12,23447
-11,23447
-14,23447
-12,23447
-10,23447
-11,23447
-12,23447
-12,23447
-9,23447
-12,23447
-7,23447
-15,23447
-17,23447
-12,23447
-12,23447
-14,23447
-11,23447
-12,23447
-12,23447
-12,23447
-8,23447
-16,23447
-11,23447
-9,23447
-11,23447
-12,23447
-16,23447
-14,23447
-9,23447
-7,23447
-12,23447
-12,23447
-13,23447
-10,23447
-9,23447
-16,23447
-13,23447
-12,23447
-12,23447
-14,23447
-13,23447
-18,23447
-13,23447
-10,23447
-16,23447
-16,23447
-15,23447
-10,23447
-12,23447
-13,23447
-10,23447
-15,23447
-12,23447
-12,23447
-11,23447
-13,23447
-12,23447
-17,23447
-12,23447
-13,23447
-9,23447
-8,23447
-14,23447
-15,23447
-13,23447
-13,23447
-16,23447
-16,23447
-11,23447
-8,23447
-11,23447
-10,23447
-10,23447
-12,23447
-14,23450
-11,23450
-11,23450
-11,23450
-11,23450
-10,23450
-16,23450
-12,23450
-8,23450
-17,23450
-8,23450
-11,23450
-16,23450
-19,23450
-11,23450
-12,23450
-12,23450
-15,23450
-11,23450
-10,23450
-10,23450
-10,23450
-13,23450
-12,23450
-12,23450
-17,23450
-13,23450
-15,23450
-13,23450
-12,23450
-11,23450
-13,23450
-10,23450
-13,23450
-15,23450
-12,23450
-16,23450
-16,23450
-9,23450
-11,23450
-11,23450
-17,23450
-10,23450
-11,23450
-11,23450
-12,23450
-15,23450
-10,23450
-13,23450
-8,23450
-11,23450
-8,23450
-14,23450
-9,23450
-12,23450
-13,23450
