finestep,counter_asc,counter_desc
-28528,54.0,41.0
-28512,52.0,41.0
-28496,49.0,42.0
-28480,54.0,46.0
-28464,55.0,43.0
-28448,48.0,41.0
-28432,51.0,42.0
-28416,52.0,42.0
-28400,52.0,40.0
-28384,53.0,38.0
-28368,52.0,37.0
-28352,47.0,41.0
-28336,50.0,43.0
-28320,52.0,41.0
-28304,50.0,43.0
-28288,56.0,43.0
-28272,50.0,42.0
-28256,54.0,40.0
-28240,51.0,34.0
-28224,54.0,39.0
-28208,51.0,41.0
-28192,50.0,42.0
-28176,50.0,39.0
-28160,47.0,42.0
-28144,53.0,41.0
-28128,49.0,40.0
-28112,53.0,38.0
-28096,53.0,42.0
-28080,53.0,40.0
-28064,52.0,39.0
-28048,51.0,39.0
-28032,49.0,44.0
-28016,54.0,38.0
-28000,50.0,43.0
-27984,51.0,39.0
-27968,53.0,38.0
-27952,53.0,41.0
-27936,55.0,43.0
-27920,50.0,39.0
-27904,51.0,36.0
-27888,47.0,41.0
-27872,50.0,40.0
-27856,52.0,40.0
-27840,49.0,40.0
-27824,49.0,38.0
-27808,46.0,38.0
-27792,52.0,40.0
-27776,49.0,38.0
-27760,54.0,39.0
-27744,51.0,41.0
-27728,54.0,40.0
-27712,50.0,39.0
-27696,48.0,38.0
-27680,50.0,38.0
-27664,48.0,43.0
-27648,51.0,41.0
-27632,54.0,38.0
-27616,48.0,41.0
-27600,51.0,41.0
-27584,51.0,43.0
-27568,50.0,39.0
-27552,50.0,38.0
-27536,47.0,33.0
-27520,49.0,39.0
-27504,52.0,34.0
-27488,54.0,38.0
-27472,50.0,38.0
-27456,52.0,37.0
-27440,53.0,35.0
-27424,51.0,37.0
-27408,48.0,41.0
-27392,50.0,37.0
-27376,51.0,37.0
-27360,56.0,38.0
-27344,50.0,35.0
-27328,52.0,36.0
-27312,48.0,37.0
-27296,50.0,35.0
-27280,48.0,35.0
-27264,49.0,40.0
-27248,48.0,42.0
-27232,51.0,37.0
-27216,51.0,38.0
-27200,50.0,36.0
-27184,51.0,33.0
-27168,50.0,35.0
-27152,51.0,39.0
-27136,50.0,33.0
-27120,49.0,39.0
-27104,50.0,35.0
-27088,53.0,39.0
-27072,52.0,34.0
-27056,47.0,39.0
-27040,49.0,35.0
-27024,49.0,34.0
-27008,52.0,34.0
-26992,50.0,33.0
-26976,51.0,35.0
-26960,53.0,33.0
-26944,50.0,34.0
-26928,50.0,38.0
-26912,47.0,38.0
-26896,47.0,39.0
-26880,50.0,37.0
-26864,49.0,38.0
-26848,48.0,33.0
-26832,55.0,35.0
-26816,46.0,36.0
-26800,45.0,36.0
-26784,54.0,37.0
-26768,49.0,38.0
-26752,49.0,35.0
-26736,50.0,39.0
-26720,48.0,33.0
-26704,52.0,36.0
-26688,48.0,34.0
-26672,49.0,38.0
-26656,52.0,34.0
-26640,48.0,35.0
-26624,48.0,33.0
-26608,48.0,41.0
-26592,46.0,37.0
-26576,44.0,37.0
-26560,46.0,31.0
-26544,52.0,35.0
-26528,50.0,35.0
-26512,49.0,36.0
-26496,48.0,37.0
-26480,47.0,37.0
-26464,48.0,32.0
-26448,49.0,31.0
-26432,47.0,37.0
-26416,51.0,29.0
-26400,49.0,37.0
-26384,48.0,32.0
-26368,46.0,37.0
-26352,45.0,34.0
-26336,49.0,35.0
-26320,50.0,37.0
-26304,49.0,36.0
-26288,47.0,32.0
-26272,47.0,30.0
-26256,41.0,32.0
-26240,43.0,33.0
-26224,49.0,39.0
-26208,49.0,32.0
-26192,48.0,40.0
-26176,48.0,33.0
-26160,46.0,36.0
-26144,42.0,36.0
-26128,47.0,38.0
-26112,47.0,30.0
-26096,49.0,32.0
-26080,49.0,31.0
-26064,46.0,33.0
-26048,46.0,35.0
-26032,49.0,36.0
-26016,50.0,38.0
-26000,53.0,33.0
-25984,49.0,33.0
-25968,50.0,32.0
-25952,46.0,33.0
-25936,51.0,34.0
-25920,49.0,34.0
-25904,50.0,35.0
-25888,46.0,35.0
-25872,46.0,31.0
-25856,46.0,34.0
-25840,46.0,33.0
-25824,49.0,34.0
-25808,50.0,30.0
-25792,46.0,35.0
-25776,46.0,33.0
-25760,46.0,35.0
-25744,51.0,32.0
-25728,45.0,31.0
-25712,44.0,31.0
-25696,49.0,29.0
-25680,47.0,31.0
-25664,47.0,37.0
-25648,49.0,37.0
-25632,48.0,30.0
-25616,48.0,34.0
-25600,49.0,29.0
-25584,50.0,32.0
-25568,47.0,34.0
-25552,50.0,31.0
-25536,49.0,34.0
-25520,42.0,32.0
-25504,44.0,32.0
-25488,46.0,33.0
-25472,47.0,31.0
-25456,43.0,35.0
-25440,46.0,32.0
-25424,51.0,35.0
-25408,47.0,29.0
-25392,46.0,30.0
-25376,45.0,29.0
-25360,47.0,33.0
-25344,47.0,34.0
-25328,48.0,33.0
-25312,46.0,33.0
-25296,48.0,33.0
-25280,45.0,27.0
-25264,48.0,32.0
-25248,45.0,30.0
-25232,49.0,29.0
-25216,47.0,33.0
-25200,48.0,30.0
-25184,47.0,29.0
-25168,45.0,32.0
-25152,46.0,29.0
-25136,48.0,31.0
-25120,45.0,31.0
-25104,46.0,28.0
-25088,50.0,27.0
-25072,47.0,30.0
-25056,46.0,31.0
-25040,42.0,30.0
-25024,46.0,30.0
-25008,44.0,26.0
-24992,48.0,31.0
-24976,48.0,29.0
-24960,49.0,28.0
-24944,48.0,29.0
-24928,45.0,32.0
-24912,45.0,33.0
-24896,45.0,29.0
-24880,44.0,31.0
-24864,47.0,28.0
-24848,44.0,32.0
-24832,45.0,32.0
-24816,48.0,31.0
-24800,47.0,29.0
-24784,41.0,28.0
-24768,48.0,30.0
-24752,47.0,30.0
-24736,46.0,28.0
-24720,45.0,32.0
-24704,47.0,28.0
-24688,48.0,26.0
-24672,42.0,33.0
-24656,43.0,29.0
-24640,45.0,30.0
-24624,48.0,33.0
-24608,42.0,30.0
-24592,45.0,27.0
-24576,49.0,33.0
-24560,47.0,25.0
-24544,44.0,30.0
-24528,45.0,31.0
-24512,45.0,30.0
-24496,45.0,29.0
-24480,39.0,30.0
-24464,46.0,32.0
-24448,46.0,29.0
-24432,47.0,29.0
-24416,44.0,30.0
-24400,42.0,28.0
-24384,51.0,29.0
-24368,46.0,31.0
-24352,45.0,27.0
-24336,43.0,30.0
-24320,46.0,25.0
-24304,45.0,31.0
-24288,48.0,29.0
-24272,46.0,29.0
-24256,46.0,26.0
-24240,47.0,33.0
-24224,47.0,26.0
-24208,40.0,28.0
-24192,44.0,28.0
-24176,47.0,30.0
-24160,44.0,31.0
-24144,44.0,25.0
-24128,42.0,28.0
-24112,45.0,27.0
-24096,50.0,29.0
-24080,43.0,31.0
-24064,47.0,25.0
-24048,50.0,32.0
-24032,49.0,29.0
-24016,45.0,28.0
-24000,43.0,29.0
-23984,44.0,27.0
-23968,42.0,28.0
-23952,44.0,32.0
-23936,47.0,27.0
-23920,39.0,25.0
-23904,43.0,26.0
-23888,47.0,29.0
-23872,45.0,28.0
-23856,44.0,29.0
-23840,44.0,25.0
-23824,44.0,31.0
-23808,43.0,28.0
-23792,42.0,26.0
-23776,47.0,27.0
-23760,40.0,28.0
-23744,43.0,30.0
-23728,43.0,29.0
-23712,42.0,24.0
-23696,45.0,32.0
-23680,43.0,25.0
-23664,42.0,27.0
-23648,43.0,30.0
-23632,41.0,28.0
-23616,48.0,27.0
-23600,42.0,27.0
-23584,44.0,27.0
-23568,40.0,30.0
-23552,45.0,28.0
-23536,43.0,29.0
-23520,45.0,24.0
-23504,41.0,25.0
-23488,41.0,27.0
-23472,46.0,23.0
-23456,49.0,27.0
-23440,43.0,24.0
-23424,44.0,23.0
-23408,43.0,23.0
-23392,45.0,27.0
-23376,44.0,24.0
-23360,46.0,26.0
-23344,44.0,24.0
-23328,47.0,27.0
-23312,45.0,23.0
-23296,47.0,24.0
-23280,48.0,24.0
-23264,43.0,21.0
-23248,42.0,25.0
-23232,48.0,26.0
-23216,49.0,24.0
-23200,43.0,29.0
-23184,40.0,23.0
-23168,45.0,24.0
-23152,45.0,24.0
-23136,44.0,29.0
-23120,46.0,26.0
-23104,47.0,23.0
-23088,40.0,23.0
-23072,44.0,25.0
-23056,43.0,26.0
-23040,44.0,28.0
-23024,40.0,24.0
-23008,43.0,25.0
-22992,45.0,25.0
-22976,48.0,26.0
-22960,42.0,32.0
-22944,42.0,22.0
-22928,43.0,27.0
-22912,43.0,23.0
-22896,43.0,23.0
-22880,43.0,25.0
-22864,40.0,26.0
-22848,44.0,24.0
-22832,43.0,26.0
-22816,43.0,27.0
-22800,43.0,25.0
-22784,42.0,23.0
-22768,44.0,22.0
-22752,42.0,21.0
-22736,47.0,21.0
-22720,44.0,26.0
-22704,46.0,26.0
-22688,42.0,24.0
-22672,44.0,24.0
-22656,43.0,22.0
-22640,40.0,26.0
-22624,44.0,23.0
-22608,43.0,27.0
-22592,45.0,26.0
-22576,44.0,24.0
-22560,43.0,26.0
-22544,45.0,19.0
-22528,42.0,23.0
-22512,39.0,21.0
-22496,44.0,23.0
-22480,42.0,23.0
-22464,44.0,25.0
-22448,44.0,26.0
-22432,41.0,23.0
-22416,45.0,22.0
-22400,45.0,25.0
-22384,37.0,23.0
-22368,41.0,26.0
-22352,38.0,29.0
-22336,41.0,23.0
-22320,41.0,28.0
-22304,43.0,24.0
-22288,44.0,21.0
-22272,43.0,22.0
-22256,41.0,20.0
-22240,39.0,22.0
-22224,44.0,23.0
-22208,43.0,21.0
-22192,42.0,16.0
-22176,41.0,22.0
-22160,44.0,23.0
-22144,43.0,22.0
-22128,41.0,20.0
-22112,42.0,24.0
-22096,41.0,23.0
-22080,41.0,21.0
-22064,40.0,20.0
-22048,39.0,25.0
-22032,42.0,20.0
-22016,42.0,23.0
-22000,41.0,21.0
-21984,41.0,23.0
-21968,47.0,23.0
-21952,44.0,20.0
-21936,39.0,20.0
-21920,42.0,25.0
-21904,43.0,21.0
-21888,40.0,25.0
-21872,43.0,21.0
-21856,40.0,20.0
-21840,42.0,21.0
-21824,39.0,19.0
-21808,45.0,19.0
-21792,42.0,25.0
-21776,35.0,21.0
-21760,40.0,21.0
-21744,41.0,21.0
-21728,36.0,20.0
-21712,44.0,21.0
-21696,40.0,18.0
-21680,42.0,23.0
-21664,39.0,21.0
-21648,41.0,20.0
-21632,41.0,20.0
-21616,37.0,22.0
-21600,38.0,25.0
-21584,39.0,21.0
-21568,43.0,22.0
-21552,39.0,22.0
-21536,42.0,23.0
-21520,38.0,21.0
-21504,44.0,23.0
-21488,38.0,19.0
-21472,39.0,18.0
-21456,40.0,20.0
-21440,41.0,20.0
-21424,42.0,20.0
-21408,42.0,20.0
-21392,39.0,19.0
-21376,41.0,20.0
-21360,43.0,21.0
-21344,43.0,21.0
-21328,43.0,22.0
-21312,39.0,22.0
-21296,42.0,21.0
-21280,39.0,24.0
-21264,39.0,18.0
-21248,35.0,15.0
-21232,40.0,23.0
-21216,43.0,20.0
-21200,41.0,18.0
-21184,38.0,15.0
-21168,41.0,21.0
-21152,39.0,16.0
-21136,39.0,20.0
-21120,38.0,19.0
-21104,40.0,21.0
-21088,39.0,20.0
-21072,40.0,19.0
-21056,42.0,18.0
-21040,36.0,17.0
-21024,40.0,20.0
-21008,40.0,23.0
-20992,39.0,21.0
-20976,37.0,15.0
-20960,39.0,15.0
-20944,40.0,16.0
-20928,38.0,24.0
-20912,41.0,20.0
-20896,42.0,17.0
-20880,39.0,19.0
-20864,40.0,17.0
-20848,41.0,21.0
-20832,38.0,20.0
-20816,36.0,19.0
-20800,42.0,13.0
-20784,40.0,16.0
-20768,38.0,22.0
-20752,39.0,21.0
-20736,37.0,21.0
-20720,41.0,17.0
-20704,44.0,18.0
-20688,39.0,21.0
-20672,40.0,18.0
-20656,38.0,19.0
-20640,39.0,24.0
-20624,39.0,19.0
-20608,37.0,20.0
-20592,41.0,16.0
-20576,38.0,20.0
-20560,39.0,18.0
-20544,40.0,21.0
-20528,38.0,18.0
-20512,35.0,18.0
-20496,41.0,16.0
-20480,42.0,15.0
-20464,33.0,14.0
-20448,37.0,15.0
-20432,38.0,16.0
-20416,37.0,19.0
-20400,43.0,20.0
-20384,43.0,19.0
-20368,40.0,19.0
-20352,39.0,17.0
-20336,35.0,16.0
-20320,36.0,17.0
-20304,38.0,19.0
-20288,33.0,16.0
-20272,39.0,18.0
-20256,36.0,19.0
-20240,35.0,16.0
-20224,41.0,21.0
-20208,38.0,15.0
-20192,38.0,18.0
-20176,36.0,14.0
-20160,40.0,21.0
-20144,34.0,20.0
-20128,37.0,20.0
-20112,41.0,16.0
-20096,38.0,18.0
-20080,40.0,20.0
-20064,37.0,19.0
-20048,39.0,13.0
-20032,37.0,14.0
-20016,38.0,17.0
-20000,39.0,18.0
-19984,36.0,24.0
-19968,38.0,22.0
-19952,37.0,13.0
-19936,38.0,17.0
-19920,37.0,18.0
-19904,36.0,17.0
-19888,40.0,14.0
-19872,37.0,16.0
-19856,40.0,16.0
-19840,41.0,16.0
-19824,38.0,20.0
-19808,38.0,15.0
-19792,40.0,13.0
-19776,34.0,18.0
-19760,37.0,20.0
-19744,37.0,18.0
-19728,34.0,20.0
-19712,36.0,18.0
-19696,38.0,20.0
-19680,36.0,15.0
-19664,36.0,17.0
-19648,38.0,15.0
-19632,36.0,18.0
-19616,35.0,17.0
-19600,34.0,16.0
-19584,37.0,14.0
-19568,36.0,13.0
-19552,34.0,15.0
-19536,35.0,8.0
-19520,33.0,18.0
-19504,37.0,13.0
-19488,36.0,16.0
-19472,35.0,16.0
-19456,37.0,17.0
-19440,38.0,16.0
-19424,39.0,17.0
-19408,35.0,14.0
-19392,40.0,17.0
-19376,38.0,16.0
-19360,38.0,15.0
-19344,34.0,14.0
-19328,38.0,14.0
-19312,36.0,13.0
-19296,38.0,10.0
-19280,36.0,14.0
-19264,36.0,13.0
-19248,38.0,14.0
-19232,34.0,17.0
-19216,34.0,19.0
-19200,41.0,15.0
-19184,39.0,12.0
-19168,37.0,15.0
-19152,34.0,13.0
-19136,36.0,12.0
-19120,36.0,16.0
-19104,38.0,15.0
-19088,36.0,15.0
-19072,37.0,11.0
-19056,40.0,14.0
-19040,36.0,10.0
-19024,35.0,15.0
-19008,33.0,13.0
-18992,35.0,15.0
-18976,35.0,16.0
-18960,36.0,13.0
-18944,36.0,14.0
-18928,34.0,9.0
-18912,36.0,19.0
-18896,37.0,11.0
-18880,33.0,12.0
-18864,36.0,16.0
-18848,33.0,13.0
-18832,37.0,16.0
-18816,34.0,16.0
-18800,35.0,14.0
-18784,35.0,10.0
-18768,37.0,14.0
-18752,40.0,14.0
-18736,36.0,13.0
-18720,32.0,11.0
-18704,38.0,9.0
-18688,33.0,12.0
-18672,35.0,14.0
-18656,37.0,15.0
-18640,33.0,18.0
-18624,31.0,12.0
-18608,35.0,12.0
-18592,35.0,17.0
-18576,37.0,15.0
-18560,35.0,13.0
-18544,33.0,15.0
-18528,38.0,16.0
-18512,34.0,12.0
-18496,35.0,13.0
-18480,38.0,12.0
-18464,32.0,12.0
-18448,35.0,16.0
-18432,31.0,14.0
-18416,34.0,10.0
