pos,voltage
-46,70312
-48,70312
-49,70312
-49,70312
-48,70312
-49,70312
-50,70312
-51,70312
-50,70312
-51,70312
-49,70312
-48,70312
-53,70312
-50,70312
-50,70312
-49,70312
-50,70312
-51,70312
-49,70312
-50,70312
-51,70312
-50,70312
-49,70312
-46,70312
-48,70312
-51,70312
-50,70312
-50,70312
-49,70312
-49,70312
-50,70312
-51,70312
-49,70312
-50,70312
-51,70312
-48,70312
-51,70312
-51,70312
-51,70312
-50,70312
-50,70312
-55,70312
-48,70312
-50,70312
-51,70312
-51,70312
-49,70312
-49,70312
-53,70312
-51,70312
-50,70312
-48,70312
-49,70312
-50,70312
-49,70312
-51,70312
-53,70312
-51,70312
-51,70312
-52,70312
-53,70312
-52,70312
-49,70312
-53,70312
-53,70312
-51,70312
-52,70312
-51,70312
-50,70312
-54,70312
-48,70312
-53,70312
-52,70312
-52,70312
-49,70312
-47,70312
-50,70312
-51,70312
-50,70312
-50,70312
-51,70312
-52,70312
-54,70312
-50,70312
-54,70312
-51,70312
-50,70312
-51,70312
-48,70312
-55,70312
-52,70312
-51,70312
-51,70312
-52,70312
-50,70312
-53,70312
-52,70312
-54,70312
-53,70312
-51,70312
-54,70312
-50,70312
-50,70312
-49,70312
-54,70312
-55,70312
-51,70312
-54,70312
-48,70312
-54,70312
-53,70312
-49,70312
-47,70312
-52,70312
-56,70312
-53,70312
-50,70312
-49,70312
-52,70312
-53,70312
-53,70312
-51,70312
-50,70312
-51,70312
-51,70312
-52,70312
-53,70312
-49,70312
-47,70312
-48,70312
-50,70312
-51,70312
-53,70312
-53,70312
-53,70312
-49,70312
-48,70312
-52,70312
-54,70312
-51,70312
-50,70312
-53,70312
-53,70312
-53,70312
-51,70312
-53,70312
-50,70312
-52,70312
-50,70312
-54,70312
-51,70312
-53,70312
-55,70312
-52,70312
-50,70312
-50,70312
-49,70312
-54,70312
-52,70312
-52,70312
-52,70312
-50,70312
-54,70312
-53,70312
-51,70312
-51,70312
-53,70312
-51,70312
-49,70312
-50,70312
-53,70312
-54,70312
-53,70312
-55,70312
-52,70312
-53,70312
-50,70312
-51,70312
-51,70312
-53,70312
-53,70312
-53,70312
-51,70312
-53,70312
-52,70312
-49,70312
-50,70312
-52,70312
-53,70312
-50,70312
-51,70312
-48,70312
-53,70312
-53,70312
-51,70312
-53,70312
-51,70312
-51,70312
-51,70312
-53,70312
-53,70312
-51,70312
-51,70312
-51,70312
-49,70312
-52,70312
-53,70312
-53,70312
-52,70312
-50,70312
-53,70312
-51,70312
-49,70312
-53,70312
-51,70312
-51,70312
-51,70312
-50,70312
-52,70312
-53,70312
-52,70312
-52,70312
-52,70312
-52,70312
-54,70312
-48,70312
-53,70312
-54,70312
-51,70312
-51,70312
-50,70312
-50,70312
-50,70312
-53,70312
-54,70312
-52,70312
-51,70312
-51,70312
-53,70312
-51,70312
-53,70312
-54,70312
-51,70312
-54,70312
-50,70312
-50,70312
-50,70312
-49,70312
-53,70312
-51,70312
-53,70312
-54,70312
-49,70312
-51,70312
-56,70312
-51,70312
-49,70312
-56,70312
-53,70312
-49,70312
-54,70312
-53,70312
-52,70312
-50,70312
-52,70312
-55,70312
-52,70312
-54,70312
-53,70312
-51,70312
-54,70312
-50,70312
-53,70312
-52,70312
-53,70312
-54,70312
-54,70312
-52,70312
-51,70312
-52,70312
-50,70312
-49,70312
-51,70312
-53,70312
-54,70312
-50,70312
-50,70312
-53,70312
-49,70312
-50,70312
-51,70312
-53,70312
-48,70312
-49,70312
-50,70312
-51,70312
-51,70312
-55,70312
-50,70312
-50,70312
-52,70312
-51,70312
-50,70312
-51,70312
-51,70312
-51,70312
-50,70312
-49,70312
-52,70312
-54,70312
-52,70312
-52,70312
-52,70312
-55,70312
-51,70312
-52,70312
-51,70312
-57,70312
-53,70312
-52,70312
-54,70312
-52,70312
-50,70312
-53,70312
-50,70312
-50,70312
-50,70312
-51,70312
-51,70312
-53,70312
-53,70312
-55,70312
-56,70312
-48,70312
-51,70312
-56,70312
-51,70312
-51,70312
-54,70312
-54,70312
-51,70312
-55,70312
-54,70312
-52,70312
-50,70312
-54,70312
-53,70312
-52,70312
-49,70312
-53,70312
-49,70312
-50,70312
-54,70312
-52,70312
-49,70312
-52,70312
-49,70312
-52,70312
-53,70312
-52,70312
-53,70312
-51,70312
-55,70312
-53,70312
-52,70312
-53,70312
-54,70312
-51,70312
-54,70312
-51,70312
-52,70312
-52,70312
-50,70312
-51,70312
-53,70312
-54,70312
-50,70312
-53,70312
-50,70312
-53,70312
-49,70312
-51,70312
-53,70312
-51,70312
-50,70312
-53,70312
-53,70312
-55,70312
-50,70312
-51,70312
-53,70312
-51,70312
-50,70312
-53,70312
-48,70312
-50,70312
-50,70312
-56,70312
-53,70312
-52,70312
-56,70312
-49,70312
-50,70312
-55,70312
-56,70312
-52,70312
-52,70312
-53,70312
-51,70312
-50,70312
-55,70312
-54,70312
-52,70312
-50,70312
-53,70312
-51,70312
-56,70312
-52,70312
-54,70312
-51,70312
-51,70312
-54,70312
-52,70312
-52,70312
-54,70312
-52,70312
-53,70312
-53,70312
-53,70312
-49,70312
-52,70312
-52,70312
-53,70312
-53,70312
-53,70312
-53,70312
-56,70312
-55,70312
-51,70312
-51,70312
-55,70312
-49,70312
-55,70312
-53,70312
-51,70312
-52,70312
-53,70312
-52,70312
-52,70312
-53,70312
-50,70312
-53,70312
-53,70312
-52,70312
-51,70312
-53,70312
-53,70312
-54,70312
-50,70312
-52,70312
-54,70312
-51,70312
-55,70312
-52,70312
-53,70312
